ticker,share_price_date,share_price,shares_outstanding,shares_outstanding_source_date,market_cap,cash,total_debt,enterprise_value,debt_measure,source,manually_reviewed,notes
QCOM,2026-06-04,242.57,1054000000,2026-04-27,255628780000.00,5520000000,14811000000,264919780000.00,carrying_value,"Yahoo Finance historical close; Qualcomm FY2026 Q2 10-Q cover page",Yes,"Cash and Total Debt from FY2025 Q4 (fiscal_year_end_balance). Total Debt = LongTermDebt + DebtCurrent. Market cap uses actual common shares outstanding from SEC filing cover page."
AMD,2026-06-04,523.20,1630600639,2026-04-29,853050094276.80,5539000000,3222000000,850733094276.80,carrying_value,"Yahoo Finance historical close; AMD FY2026 Q1 10-Q cover page",Yes,"Cash and Total Debt from FY2025 Q4 (fiscal_year_end_balance). Total Debt = DebtLongtermAndShorttermCombinedAmount. Market cap uses actual common shares outstanding from SEC filing cover page."
NVDA,2026-06-04,218.66,24200000000,2026-05-15,5291572000000.00,10605000000,8468000000,5289435000000.00,carrying_value,"Yahoo Finance historical close; Nvidia FY2027 Q1 10-Q cover page",Yes,"Cash and Total Debt from FY2026 Q4 (fiscal_year_end_balance). Total Debt = LongTermDebt (includes noncurrent + current portion). SEC cover page reports 24.2 billion shares; value is rounded. Market cap uses actual common shares outstanding from SEC filing cover page."
INTC,2026-06-04,111.78,5026000000,2026-04-17,561806280000.00,14712000000,46585000000,593679280000.00,carrying_value_includes_restricted_cash,"Yahoo Finance historical close; Intel FY2026 Q1 10-Q cover-page XBRL",Yes,"Cash from FY2025 Q4 uses CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (includes ~$447M restricted cash / ~3% overstatement vs peers). Total Debt = LongTermDebtNoncurrent + DebtCurrent. Market cap uses actual common shares outstanding from SEC filing cover page."
AVGO,2026-06-04,418.91,4734668184,2026-02-27,1983432750434.44,16178000000,67120000000,2034374750434.44,gross_principal,"Yahoo Finance historical close; Broadcom FY2026 Q1 10-Q cover page",Yes,"Cash and Total Debt from FY2025 Q4 (fiscal_year_end_balance). Total Debt = DebtInstrumentCarryingAmount (gross principal ~$2B / ~3% above net carrying value used by other companies). Broadcom share-count source date (2026-02-27) is older than peers. Market cap uses actual common shares outstanding from SEC filing cover page."
